Fighter,Height,Weight,Style(op),Country,Age,Stance,Wins KO,Losses Ko,Wins Sub,Losses Sub,Total Wins,Total Losses,Total Draw
Corne Blom,0,0,Mixed Martial Artist,South Africa,,,0,1,0,0,0,1,0
Byron Bloodworth,0,0,,USA,8/16/198,Orthodox,1,2,2,1,6,3,0
Margaret Bloom,0,0,,,,,0,1,0,0,0,1,0
Kate Bloomfield,0,0,,,11/21/198,,0,1,0,1,0,2,0
Dana Blouin,0,0,,,,,0,1,0,0,0,1,0
Justin Blouvet,0,0,,,,,0,0,0,1,0,1,0
Jake Bluhm,0,0,,,,,0,1,0,0,0,1,0
Henry Blume,0,0,,,,,0,1,0,0,0,1,0
Marvin Blumer,0,0,,,2/18/198,,1,1,10,1,11,6,0
Melvin Blumer,0,0,,,2/18/198,,5,2,6,2,13,4,0
Hubert Blunt,0,0,,,,,0,0,0,1,0,1,0
Jacob Blurton,0,0,,USA,2/20/199,,0,2,0,0,0,2,0
Joe Blurton,0,0,,,,,0,1,0,0,0,1,0
Josh Blyden,"5' 10""", 145 lbs,,USA,35,,1,0,5,0,9,2,0
Jake Blyth,0,0,,,,,0,0,1,0,1,0,0
Luke Blythe,0,0,,,,,0,1,0,0,0,1,0
Vladimir Blyumental,0,0,,,,,0,1,0,0,0,1,0
Meng Bo,"5' 4""", 125 lbs,,China,26,,5,1,5,2,16,6,0
Hai Bo Liu,0,0,,,,,0,0,0,1,0,1,0
Felipe Boanada,0,0,,Brazil,,,0,0,0,0,0,1,0
Zack Board,0,0,,,,,0,1,0,0,0,1,0
Marcilio Vilas Boas,0,0,,,,,0,1,1,0,1,1,0
Dashawn Boatwright,"6' 0""", 205 lbs,,USA,34,Orthodox,2,2,0,0,3,2,0
Felipe Boaventura,"6' 3""", 185 lbs,,Brazil,36,,0,1,0,0,0,1,0
Alvaro Bobadilha,0,0,,,,,0,0,0,0,0,1,0
Frantisek Boban,0,0,,,,,0,0,0,1,0,1,0
Dan Bobish,0,0,,,,Southpaw,0,4,2,2,2,6,0
Michael Bobner,0,0,,,,,0,1,0,0,0,1,0
Stephanie Bobo,0,0,,,,,0,1,0,0,0,1,0
Nemat Bobomuhamedov,0,0,,,,,0,1,0,0,0,1,0
Shah Bobonis,0,0,,,,,0,0,0,2,1,4,0
Sergey Bobrov,0,0,,,,,0,0,0,0,1,0,0
Michal Bobrowski,0,0,,Poland,4/14/199,,0,0,0,0,1,0,0
Mark Bocek,0,0,,,10/24/198,Orthodox,1,1,7,1,12,5,0
Ilya Bochkov,0,0,,,1/13/198,,4,0,0,0,4,2,0
Kyle Bochniak,"5' 7""", 145 lbs,,USA,35,Orthodox,2,1,2,0,11,7,0
